id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Estado,Área de texto 1,Comentarios
1,Documento,,,,,,,,,Borrador,proyectoTfg DER,
2,Página,,,,,,,,,,Página 1,
3,Decisión,Figuras de diagrama de flujo/contenedores,2,,,,,,,,tiene,
4,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Animes,
5,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Generos,
6,MinimalTextBlock,Estándar,2,,,,,,,,1:N,
7,MinimalTextBlock,Estándar,2,,,,,,,,1:M,
8,MinimalTextBlock,Estándar,2,,,,,,,,N:M,
9,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Usuarios,
10,MinimalTextBlock,Estándar,2,,,,,,,,id,
11,MinimalTextBlock,Estándar,2,,,,,,,,nombre_pila,
12,MinimalTextBlock,Estándar,2,,,,,,,,apellido,
13,MinimalTextBlock,Estándar,2,,,,,,,,usuario,
14,MinimalTextBlock,Estándar,2,,,,,,,,email,
15,MinimalTextBlock,Estándar,2,,,,,,,,contrasenia,
16,MinimalTextBlock,Estándar,2,,,,,,,,telefono,
17,MinimalTextBlock,Estándar,2,,,,,,,,genero,
18,MinimalTextBlock,Estándar,2,,,,,,,,calle_nombre,
19,MinimalTextBlock,Estándar,2,,,,,,,,calle_numero,
20,MinimalTextBlock,Estándar,2,,,,,,,,img_grande,
21,MinimalTextBlock,Estándar,2,,,,,,,,img_mediana,
22,MinimalTextBlock,Estándar,2,,,,,,,,img_miniatura,
23,MinimalTextBlock,Estándar,2,,,,,,,,id,
24,MinimalTextBlock,Estándar,2,,,,,,,,estudio,
25,MinimalTextBlock,Estándar,2,,,,,,,,descripcion,
26,MinimalTextBlock,Estándar,2,,,,,,,,fecha_inicio,
27,MinimalTextBlock,Estándar,2,,,,,,,,titulo_enlace,
28,MinimalTextBlock,Estándar,2,,,,,,,,titulo_texto,
29,MinimalTextBlock,Estándar,2,,,,,,,,nombre,
30,MinimalTextBlock,Estándar,2,,,,,,,,id,
31,Línea,,2,,,3,5,None,Arrow,,,
32,Línea,,2,,,3,4,None,Arrow,,,
33,Línea,,2,,,9,,None,CircleClosed,,,
34,Línea,,2,,,9,,None,CircleOpen,,,
35,Línea,,2,,,9,,None,CircleOpen,,,
36,Línea,,2,,,9,,None,Nesting,,,
37,Línea,,2,,,9,,None,Nesting,,,
38,Línea,,2,,,9,,None,CircleOpen,,,
39,Línea,,2,,,9,,None,Nesting,,,
40,Línea,,2,,,9,,None,CircleOpen,,,
41,Línea,,2,,,9,,None,CircleOpen,,,
42,Línea,,2,,,9,,None,CircleOpen,,,
43,Línea,,2,,,9,,None,CircleOpen,,,
44,Línea,,2,,,9,,None,CircleOpen,,,
45,Línea,,2,,,,,None,CircleOpen,,,
46,Línea,,2,,,4,,None,CircleClosed,,,
47,Línea,,2,,,4,,None,CircleOpen,,,
48,Línea,,2,,,4,,None,CircleOpen,,,
49,Línea,,2,,,4,,None,CircleOpen,,,
50,Línea,,2,,,4,,None,CircleOpen,,,
51,Línea,,2,,,4,,None,CircleOpen,,,
52,Línea,,2,,,5,,None,CircleOpen,,,
53,Línea,,2,,,5,,None,CircleClosed,,,